,avg_log_income,log_income_per_capita,migrated_yn,income_satisfaction,income_sufficiency_6m,econ_condition,country
1708,3.546152194528203,4.189654742026425,0,3,3,1,GT
1709,3.7635119761673015,3.5115454388310208,0,2,3,1,GT
1714,,1.3217558399823195,1,2,2,2,HND
1715,,1.041453874710514,0,3,5,2,GT
1718,,1.041453874710514,0,4,4,3,GT
1726,3.9087265581109483,4.004732403584497,1,4,5,1,GT
1727,3.7635119761673015,5.096812990337308,0,1,2,3,GT
1728,3.7635119761673015,3.7287009483006077,0,4,5,1,GT
1734,2.6722052449974827,3.295836866004329,0,4,4,2,GT
1736,3.9087265581109483,4.55650501400681,0,1,2,3,GT
1738,,1.3217558399823195,0,1,2,2,GT
1739,2.782280913342107,3.0204248861443626,0,3,5,2,GT
1740,3.268036015807378,4.189654742026425,0,2,2,2,GT
1746,2.8905900673982448,6.018593214496234,1,3,3,1,HND
1750,2.881432476870934,3.7917368394784563,0,2,2,2,GT
1752,2.6722052449974827,2.908720896382543,0,2,2,2,GT
1754,4.444990283538364,4.875197323201151,1,1,1,1,GT
1755,3.9419590180702992,4.3694478524670215,0,2,5,1,GT
1765,2.238641594795209,2.211017899468555,0,2,5,2,GT
1768,1.4706888169563062,1.824549292051046,0,4,5,1,GT
1773,4.336312746411943,4.590056548178043,0,2,4,3,GT
1778,,1.3217558399823195,1,2,5,1,GT
1783,3.138807286861064,4.678420647727684,0,1,1,2,HND
1785,3.771713838352859,5.146525014594919,0,2,1,1,HND
1787,3.554306948290527,5.614343911887453,1,4,4,1,HND
1789,,1.041453874710514,1,1,5,2,HND
1804,3.719088142221286,4.3694478524670215,1,2,2,2,GT
1809,,1.1631508098056809,0,2,2,1,HND
1810,,1.5404450410185773,1,3,3,2,HND
1812,,1.5404450410185773,1,2,2,2,HND
1838,2.877014050746387,4.189654742026425,0,3,2,2,GT
1841,3.412204249892664,4.341638573725209,0,2,2,2,GT
1842,3.491836182698006,4.139158578011894,0,3,2,2,GT
1843,3.1263002546085876,4.0488821880872035,0,2,3,2,GT
1844,3.4394589170027228,3.86702563949741,0,2,5,3,GT
1848,3.2635332706326223,4.189654742026425,1,2,3,2,GT
1850,3.197269030240466,3.8394523125933104,0,3,3,3,GT
1852,3.7972632550357868,4.448516375942715,0,3,4,3,GT
1855,2.250332917974736,3.4106761257582088,1,3,2,1,HND
1858,1.2661778706993188,3.068052935133617,1,3,3,2,HND
1860,1.1111384411567171,2.3832429960115,1,3,5,1,HND
1865,1.8073927961429912,3.457892725338701,0,3,4,3,HND
1867,2.889359579149377,4.639571612705423,0,4,5,2,HND
1874,3.197269030240466,3.8394523125933104,0,4,5,2,GT
1875,3.0499075310934023,3.970291913552122,0,3,4,2,GT
1876,2.0417999011349157,1.824549292051046,0,99,5,2,GT
1882,5.127597845098997,5.382964840761461,1,2,5,3,GT
1886,2.0417999011349157,2.1316272949012536,0,3,5,2,GT
1896,,1.3217558399823195,1,2,5,1,GT
1907,,0.7985076961177716,1,2,2,1,GT
1911,2.877014050746387,2.6390573296152584,0,2,2,3,GT
1912,3.9373686730243533,3.5960661543835104,1,2,5,1,GT
1913,,1.5404450410185773,0,4,2,1,GT
1914,2.5701691873378896,2.5416019934645457,0,4,4,1,GT
1917,2.0531894512357307,4.418840607796598,0,3,5,1,HND
1923,2.0531894512357307,4.0193815238085255,1,2,3,2,HND
1932,3.942556866126234,4.189654742026425,0,2,2,1,GT
1942,1.8071707693989334,3.242592351485517,0,4,2,1,HND
1944,1.4805712800212503,2.6855773454774243,1,4,5,1,HND
1947,,1.1631508098056809,1,2,2,2,HND
1962,1.4805712800212503,2.856470206220483,0,2,4,1,HND
1963,1.4805712800212503,2.856470206220483,0,4,5,2,HND
1964,2.0529579262008597,3.1957534075058263,1,4,5,1,HND
1966,0.9924099372845193,2.4203681286504293,0,2,5,2,HND
1983,1.2659871423922,2.1618852108909103,0,2,5,1,HND
1986,5.132857646573378,6.478509642208569,1,1,1,2,GT
1994,3.054948657209534,3.6888794541139363,0,2,3,1,GT
1996,3.764107513021929,3.8592248198912955,1,3,4,1,GT
1997,3.268622483831558,3.6888794541139363,1,3,4,1,GT
2002,1.9375968318495707,3.888413139720753,1,2,5,2,HND
2004,1.8071707693989334,3.242592351485517,1,3,5,1,HND
2005,2.6727728068373056,3.5742165458872543,0,3,5,3,GT
2009,4.225377502980135,4.321290399542975,0,3,5,1,GT
2011,2.6727728068373056,3.0819099697950434,0,4,3,2,GT
2012,3.546744297893192,4.189654742026425,0,2,3,2,GT
2013,4.093932477326782,4.5217885770490405,0,1,1,2,GT
2014,2.407849924074249,2.496741107199709,0,4,5,2,GT
2017,2.979349200910754,4.7340030578310595,1,1,2,3,HND
2020,3.4518621052071055,4.66747406905579,0,4,2,1,HND
2039,2.2500952936061087,3.7376696182833684,0,4,5,3,HND
2040,1.9617583010437638,3.094930987292057,1,4,5,3,HND
2044,5.303304908059076,4.214593690422939,1,3,1,1,HND
2047,,1.5404450410185773,0,2,2,2,HND
2048,2.2500952936061087,3.7376696182833684,0,3,3,1,HND
2049,2.6727728068373056,2.908720896382543,0,4,4,3,GT
2050,3.7242512311451277,4.3694478524670215,0,3,3,3,GT
2051,3.268622483831558,3.2337644373619514,0,4,5,3,GT
2052,3.8749486464079643,4.301358731606427,1,2,3,3,GT
2058,2.9722122332319785,4.283586561860629,0,3,2,1,GT
2059,3.546744297893192,4.473541743547678,0,3,2,2,GT
2061,3.4445807011871796,4.3694478524670215,0,2,2,2,GT
2063,3.942556866126234,3.7917368394784563,1,2,3,1,GT
2068,3.546744297893192,4.473541743547678,0,3,5,2,GT
2069,2.6727728068373056,3.5742165458872543,0,2,4,2,GT
2071,2.882007990008322,3.7917368394784563,1,2,5,2,GT
2078,4.44559280823473,4.694401319411156,1,1,2,2,GT
2083,1.2659871423922,2.4203681286504293,0,3,3,3,HND
2087,2.555993682543335,3.7376696182833684,1,2,2,3,HND
2092,4.225377502980135,4.875197323201151,0,1,1,2,GT
2095,,0.7985076961177716,0,3,4,1,GT
2097,,1.3217558399823195,0,2,1,1,GT
2100,1.6510634240480146,1.7303905228770793,1,4,5,1,GT
2101,3.942556866126234,4.590056548178043,0,2,2,1,GT
2105,4.44559280823473,4.293498957135939,0,2,2,1,GT
2106,6.9996552871187,7.2508720580855,1,1,1,1,GT
2107,2.882007990008322,3.295836866004329,1,2,5,2,GT
2110,2.6727728068373056,3.0819099697950434,1,3,5,2,GT
2123,,1.8718021769015913,0,2,1,2,GT
2135,3.942556866126234,4.189654742026425,1,1,2,2,GT
2140,4.225377502980135,4.473541743547678,1,2,2,1,GT
2141,3.8749486464079643,4.806749559113981,0,2,3,1,GT
2143,3.942556866126234,4.3694478524670215,0,3,3,1,GT
2145,3.38929806476898,3.8110970868381857,1,3,2,1,GT
2149,,1.5404450410185773,1,2,2,2,GT
2155,3.2360324447684543,3.655839600035736,1,2,2,2,GT
2156,,0.9444616086741848,0,4,5,2,GT
2187,1.4805712800212503,3.068052935133617,1,3,5,2,HND
2188,1.4805712800212503,2.134704220408649,1,3,5,2,HND
2189,1.4805712800212503,2.542726220339748,1,3,5,2,HND
2192,2.779426491322146,4.124173015321413,1,2,4,2,HND
2194,,0.8649974374866045,1,2,3,2,HND
2199,2.4146958941239496,3.9160150266976834,0,3,5,1,HND
2200,2.4146958941239496,4.135166556742356,0,3,5,2,HND
2201,,1.3217558399823195,0,3,5,2,HND
2202,2.156376656553956,3.8528036457681747,1,4,5,1,HND
2211,4.61512051684126,3.258096538021482,1,3,5,2,SLV
2212,6.111467339502679,5.017279836814924,1,2,2,3,SLV
2217,3.58351893845611,2.538973871321434,0,2,2,2,SLV
2226,,1.5404450410185773,0,3,5,2,SLV
2230,4.2626798770413155,2.3978952727983707,0,2,2,2,SLV
2238,1.6571455861601982,3.068052935133617,1,3,5,2,HND
2239,1.4805712800212503,2.856470206220483,1,2,5,1,HND
2255,,1.8718021769015913,0,4,5,1,SLV
2261,5.017279836814924,3.4339872044851463,1,4,5,1,SLV
2270,1.4805712800212503,3.7376696182833684,0,2,5,1,HND
2272,1.4805712800212503,2.856470206220483,0,2,5,1,HND
